id,market_id,selection_id,selection_name,odds,line
,129264964,0QA129264964#1403958814_13L88808Q1-1230047848Q20,Over,1.57142858,2.5
,129264964,0QA129264964#1403958815_13L88808Q1-1364398919Q20,Under,2.3,2.5
,129470333,0QA129470333#1405215059_13L88808Q1-1073983785Q20,Over,1.625,3.5
,129470333,0QA129470333#1405215060_13L88808Q1-1672963010Q20,Under,2.2,3.5
,129471405,0QA129471405#1405219994_13L88808Q1-1230047848Q20,Over,1.8,2.5
,129471405,0QA129471405#1405219995_13L88808Q1-1364398919Q20,Under,1.95238096,2.5
,129468891,0QA129468891#1405294331_13L88808Q1-1073983785Q20,Over,2.25,3.5
,129468891,0QA129468891#1405294332_13L88808Q1-1672963010Q20,Under,1.60606061,3.5
,129264943,0QA129264943#1403958779_13L88808Q1-1073983785Q20,Over,2.4,3.5
,129264943,0QA129264943#1403958782_13L88808Q1-1672963010Q20,Under,1.54054055,3.5
,129264952,0QA129264952#1403958772_13L88808Q1-1230047848Q20,Over,1.76923077,2.5
,129264952,0QA129264952#1403958773_13L88808Q1-1364398919Q20,Under,2.0,2.5
,129307780,0QA129307780#1404198231_15L88808Q1990510538Q20,Baker Mayfield,2.0,0.5
,129307780,0QA129307780#1404198230_13L88808Q11442330624Q20,Aaron Rodgers,1.76923077,-0.5
,129307777,0QA129307777#1404198224_13L88808Q11464620999Q20,Over,1.71428572,2.5
,129307777,0QA129307777#1404198225_13L88808Q1-1705324101Q20,Under,2.05,2.5
,129307789,0QA129307789#1404198243_13L88808Q1-1052707052Q20,Aaron Rodgers,1.3125,
,129307789,0QA129307789#1404198244_13L88808Q1760930129Q20,Baker Mayfield,3.25,
,129307853,0QA129307853#1404198447_15L88808Q1-1897746215Q20,Van Jefferson,1.32258065,0.5
,129307853,0QA129307853#1404198446_13L88808Q1450956821Q20,Allen Lazard,3.35,-0.5
,129307866,0QA129307866#1404198474_13L88808Q11258285434Q20,Over,2.0,0.5
,129307866,0QA129307866#1404198476_13L88808Q11861448076Q20,Under,1.76923077,0.5
,129307834,0QA129307834#1404198435_13L88808Q1-1742974256Q20,Allen Lazard,1.40816327,
,129307834,0QA129307834#1404198437_13L88808Q1309765166Q20,Van Jefferson,2.85,
,3_68316639,0OU68316639O150_1,Over,1.90909091,1.5
,3_68316639,0OU68316639U150_3,Under,1.76923077,1.5
,3_68316638,0OU68316638O250_1,Over,1.76923077,2.5
,3_68316638,0OU68316638U250_3,Under,1.90909091,2.5
,3_68316641,0OU68316641O1550_1,Over,1.90909091,15.5
,3_68316641,0OU68316641U1550_3,Under,1.90909091,15.5
,3_68316640,0OU68316640O2350_1,Over,1.86956522,23.5
,3_68316640,0OU68316640U2350_3,Under,1.95238096,23.5
,128989405,0QA128989405#1402120914_13L88808Q13Q212130,21-30,2.5,
,128989405,0QA128989405#1402120909_13L88808Q12Q211120,11-20,2.95,
